17501,13816,60954
14182,69525,69278
25642,15831,80833
93712,12726,79083
59859,38217,48809
31274,76378,16751
15562,28684,10678
55360,65584,61543
48679,93942,90156
19571,24056,63254
88943,5619,21677
39936,42577,12873
83246,10214,15667
49629,51117,12884
63819,91739,62754
49821,97316,17253
62183,39972,75358
70546,29422,94333
97579,68319,80952
25275,98655,90266
57839,95657,82162
50277,70303,10120
91884,65633,93192
52632,73002,92396
23588,57824,28101
74038,95212,46620
99903,21004,52675
64438,85708,53554
87948,88729,99539
65514,30918,55044
84196,8032,21862
21458,44324,19670
16112,11193,26043
916,27095,55171
31762,20158,83730
89230,99073,56237
99732,35529,28707
5626,46482,31533
52685,75187,16525
31827,44290,23160
22697,43101,86013
19741,17747,8208
364,56387,43075
4474,76506,10986
32757,89753,78890
59635,53019,18615
33270,39134,48280
63762,52029,95944
76057,44179,81173
84631,35583,62772
42526,93256,52823
50488,68882,5361
59425,60455,19560
52711,59567,40587
46841,53587,89040
74034,8323,65735
40373,27911,79663
48172,19389,7640
80399,22514,58063
19356,41490,42451
89549,89844,96392
23405,80175,52997
92567,96309,54324
55617,92258,37003
68466,62186,50632
82118,25037,97991
36483,83813,33067
89470,51657,28561
45949,68018,36463
62881,45705,53507
41078,33773,13873
32871,39391,80190
80356,80109,48847
59838,80263,11481
55426,82342,64220
44552,79469,54328
97455,94655,29104
46697,77091,36458
91651,31409,83703
22374,98694,30108
33020,50842,51281
84987,85264,34775
12616,32346,14542
29332,16122,99423
8054,35358,17027
87445,6858,24087
51003,69526,76211
4984,89376,56473
96968,33623,78185
40880,50450,83518
68947,58573,61113
64522,39190,33973
5131,92267,27320
43671,62761,5922
81591,21174,19799
4868,29237,79834
22957,64701,87093
84306,88210,86867
57431,1047,5019
98475,25658,92355
85942,14958,13820
37025,76361,745
54577,3821,66220
55678,63805,25724
71651,37999,81026
16259,72899,30375
60477,91284,83566
12088,72021,56791
69345,18289,71140
55460,50085,22844
26634,31620,82499
52896,29864,38912
90546,35710,21904
30090,52464,47933
56641,275,66647
17057,6097,9347
59759,49051,16277
55532,9078,85889
40789,69386,74690
44612,38254,17984
55705,44827,86715
65060,36308,84872
82608,99969,92970
95484,87400,91572
22023,52660,16218
21524,78640,13854
29297,23063,13200
592,58970,78247
51055,59755,47494
80056,96901,20015
69863,30964,97739
21135,2005,50875
69443,35046,69415
93080,64496,48753
71235,94568,23540
21452,36620,8089
35074,19705,96437
8460,7570,34568
76217,29273,1010
79284,63779,52109
42818,93068,25190
36446,71452,49825
29135,81310,72577
6115,56171,50393
43562,62462,74756
60688,95595,50254
39831,34754,65510
63157,36722,91504
5566,99414,48350
7131,76138,67871
57369,12501,18266
86445,17707,16552
98044,93421,97885
5901,18404,27879
37793,82713,94138
70352,92807,68160
99360,74902,6266
33989,71631,52060
40396,85583,749
63066,64552,25791
32005,70428,674
88656,71069,20784
32582,68637,20643
52429,16371,45731
95752,62445,72576
46154,25639,4382
81130,96657,34459
35798,41634,57231
11710,91019,53981
20018,5771,15232
37864,73708,52186
85006,59476,73805
42261,32674,5457
65202,39737,39240
18812,48714,14421
16070,40359,6058
14790,39041,28838
25646,88028,61728
30128,45931,49521
24256,43077,34603
36299,1306,69017
95126,64856,32307
11703,70830,75497
36802,12545,48572
